shop_was_in_page,shop_img,shop_title,shop_url,shop_id,shop_selling_type,senfi_number,shop_all_products_target_url,cooperation_status_with_emalls,name_of_person_in_charge,phone_number,shop_address,shop_email,shop_score,shop_social_media_handles,shop_recieved_date,shop_crawled_at,shop_current_city,shop_duration_of_cooperation_with_emalls,shop_website,shop_Enamad_sign,images
11,http://emalls.ir//files/shoplogo/7j4jhln8gcfqpo5t3eg8y6ritxpdklorkjzr865le1lrmoi6oz[medium].png,گلبو,https://emalls.ir//Shop/33999/,33999,اینترنتی,,,غیرفعال به دلیل عدم تکمیل مدارک,علی اطاهریان,۰۲۱۹۱۰۱۷۰۹۳,محله: دستغیب، کوچه شهید داود نظری، کوچه شهید بهروز قربانی، پلاک: 21.0، طبقه: 1، واحد: 3,golbou [dot] shop [at] gmail [dot] com,بدون امتیاز,,چهارشنبه ۳ بهمن,2025-01-22 17:34:12.176769+00:00,تهران - تهران,1 سال و 7 ماه و 28 روز,https://golbou.shop/,دارد (یک ستاره) معتبر تا 3 ماه و 24 روز,
11,http://emalls.ir//files/shoplogo/b5k2ucf7bmt2y7ecnwna2uhcox0k2mqvyxrwo00f4k11lsensd[medium].png,هدی استایل,https://emalls.ir//Shop/5064/,5064,اینترنتی,,,عدم همکاری با ایمالز,موسی سرمایه,۰۴۴۴۶۲۲۲۳۳۹,سایر بوکان بخش مرکزی ، شهر بوکان، محله شهرداری ، کوچه نرگس 6 ، خیابان وحدت ، پلاک 0 ، طبقه همکف ، واحد شمالی .,hedistyle [dot] shop [at] gmail [dot] com	,بدون امتیاز,,چهارشنبه ۳ بهمن,2025-01-22 17:34:12.339397+00:00,آذربایجان غربی - بوکان,--,https://hedistyle.com/,دارد (یک ستاره),
11,http://emalls.ir//files/shoplogo/zqugfqsplr8ogljifvnco5085bor5l8ny7qhycm3rilj01r5gg[medium].png,مدیاارس,https://emalls.ir//Shop/19425/,19425,اینترنتی,,,عدم همکاری با ایمالز,محمد جهانپسند,۰۹۳۷۹۶۶۲۵۳۴,"سایر جلفا بخش مرکزی ، شهر جلفا، محله م آزادتجاری ارس فاز1 ، خیابان ((آمیکو)) ، خیابان B1 ، پلاک 0 ، طبقه همکف
",mohsenabubakri1998 [at] gmail [dot] com,بدون امتیاز,,چهارشنبه ۳ بهمن,2025-01-22 17:34:12.436662+00:00,آذربایجان شرقی - جلفا,--,https://mediaaras.com/,دارد (یک ستاره),
11,http://emalls.ir//files/shoplogo/k02of8oqhnt55t5pvlm0qley7mujkx2spamt30ctv8oeu1baiw[medium].png,گرافیک بازان,https://emalls.ir//Shop/22895/,22895,اینترنتی,,,عدم همکاری با ایمالز,حانیه بهمن یار,۰۲۱۸۸۳۴۸۸۸۸,محله: پونک شمالی، بلوار عدل، خیابان بهار شرقی، پلاک: -26.0، ساختمان مینیاتور، بلوک A، طبقه: چهارم، واحد: A44,sherzad [dot] khalandpour [at] gmail [dot] com,بدون امتیاز,,چهارشنبه ۳ بهمن,2025-01-22 17:34:13.798079+00:00,تهران - تهران,--,http://graphicbazan.com/,دارد (یک ستاره),
12,http://emalls.ir//files/shoplogo/7r1nyftw15u6qd83lbstzx3b4temk6le0i5ocpmjh6tjyepjn0[medium].png,آلتون مارکت,https://emalls.ir//Shop/39528/,39528,اینترنتی,,,غیرفعال به دلیل عدم تکمیل مدارک,مهرداد فضیلت فرجی,۰۲۱۹۱۰۰۷۵۷۵ - ۰۲۱۸۸۲۴۰۲۲۲,ونک، خیابان شیخ بهائی، خیابان صائب تبریزی غربی ، پلاک: 1.0، طبقه: 5,altontech [dot] ir [at] gmail [dot] com,بدون امتیاز,,چهارشنبه ۳ بهمن,2025-01-22 17:34:20.678359+00:00,تهران - تهران,1 سال و 1 ماه و 11 روز,https://alton.market/,دارد (یک ستاره) معتبر تا 10 ماه و 12 روز,
12,http://emalls.ir//files/shoplogo/h7adc6vcyw7vdle4xsm4bgnh27mctufu75jpqr5krcabfvuz0i[medium].png,دونیل پی سی,https://emalls.ir//Shop/3528/,3528,اینترنتی,,,قطع همکاری با ایمالز,محمد بلارک,۰۷۱۳۷۲۳۹۲۰۳,"فارس شیراز محله شهرک نیروی انتظامی، بلوار فرصت شیرازی، کوچه ۲۴ فرعی ۲۴/۱، ساختمان سمت چپ آخرین خانه، طبقه همکف
",Mohbelarak [at] yahoo [dot] com	,۵,,چهارشنبه ۳ بهمن,2025-01-22 17:34:20.783835+00:00,فارس - شیراز,--,https://donilpc.com/,دارد (یک ستاره),
16,http://emalls.ir//files/shoplogo/wy8mywcyk520bck6n7gupf33sby4ctlmn81pfoentaso5piv68[medium].png,السام شاپ,https://emalls.ir//Shop/24628/,24628,اینترنتی,,,عدم همکاری با ایمالز,سیده الهام خادم ,۰۷۱۳۶۵۰۳۲۹۲,شیراز شهرک گلدشت حافظ بلوار افرینش کوچه ۶ اولین چهارراه سمت چپ نبش پیر مغان۷,elsamshopir [at] gmail [dot] com,بدون امتیاز,,چهارشنبه ۳ بهمن,2025-01-22 17:34:21.468599+00:00,فارس - شیراز,--,https://elsamshop.ir/,دارد (یک ستاره),
11,http://emalls.ir//files/shoplogo/xoh5tea53o8f0fg6jl28xi6qfjn8rzqzl3u18b10l2st3o1laf[medium].png,نیل پت,https://emalls.ir//Shop/32166/,32166,اینترنتی,,,عدم همکاری با ایمالز,مهدی اصلی یلفانی,۰۲۱۴۴۵۲۰۳۵۹,محله: باشگاه نفت (تهرانسر اصلی)، کوچه هفدهم، کوچه گلزار نهم، پلاک: 8.0، پارسیان، طبقه: همکف، واحد: 5,info [at] nilpet [dot] ir,بدون امتیاز,,چهارشنبه ۳ بهمن,2025-01-22 17:34:22.356371+00:00,تهران - تهران,--,https://nilpet.ir/,دارد (صفر ستاره),
10,http://emalls.ir//files/shoplogo/vyvspvt7osgccb4tp6rt7gli51ui32q58sbpkn6io0awfy0xh2[medium].png,آذر موتور,https://emalls.ir//Shop/7402/,7402,اینترنتی,,,عدم همکاری با ایمالز,محمد رضا ابوالحسن زاده,۰۲۱۳۳۱۱۲۵۷۵,دفتر فروش :تهران، خیابان سعدی جنوبی، جنب بانک کارآفرین، پلاک: 327,azarmotor95 [at] gmail [dot] com,بدون امتیاز,,چهارشنبه ۳ بهمن,2025-01-22 17:34:23.205655+00:00,تهران - تهران,--,https://azarmotor-co.ir/,ندارد,
9,http://emalls.ir//files/shoplogo/lf2cp4uly2hb20jp7kgxxn7q7rh8mcv00xl3lqmbndzxem3w61[medium].jpg,بازرگانی دنیای چسب,https://emalls.ir//Shop/1724/,1724,اینترنتی,,,عدم همکاری با ایمالز,بازرگانی دنیای چسب,۰۵۱۳۸۱۱۲۲۴۰,"خراسان رضوی مشهد امام رضا 50 - پلاک 20 - طبقه اول
",info [at] donyaiechasb [dot] ir	,بدون امتیاز,,چهارشنبه ۳ بهمن,2025-01-22 17:34:23.986381+00:00,خراسان رضوی - مشهد,--,http://shop.donyaiechasb.ir/,دارد (یک ستاره) معتبر تا 5 ماه و 21 روز,
